Año,Precio
2010,300000
2016,265000
2006,98000
2019,535000
2013,310000
2019,207000
2018,358000
2018,358000
2013,129000
2012,295000
2019,258000
2016,328000
2020,398000
2011,128000
2019,385000
2011,148000
2018,540000
2015,135000
2017,243000
2018,208000
2016,175000
2017,189000
2014,335000
2005,97000
2011,142000
2009,160000
2018,638000
2016,435000
2017,245000
