Año,Precio
2014,138000
2017,293000
2013,323000
2011,275000
2007,95000
2017,280000
2015,299000
2017,485000
2012,160000
2016,287000
2018,295000
2017,243000
2020,399000
2020,259500
2012,210000
2009,125000
2011,287000
2015,339000
2016,259000
2011,289000
2018,387000
2015,305000
2017,259500
2013,242000
2019,415000
2012,178000
2011,148000
2010,268000
2018,559000
