Año,Precio
2012,205000
2017,284900
2010,114900
2011,127900
2010,124900
2009,114900
2011,125000
2006,189000
2010,169000
2014,239900
2011,184900
2017,370000
2016,255000
2017,334000
2015,165000
2012,149500
2006,97000
2016,345000
2014,269000
2018,305000
2013,219000
2011,175000
2014,228000
2016,308000
2007,120000
2013,218000
2006,95000
2018,595000
2015,215000
